Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
UBXN2A		4	4	1066	0.4%	No
TRIM60		5	5	1066	0.5%	No
TRAPPC1		2	2	1066	0.2%	No
USP30		1	1	1066	<0.1%	No
SMIM8		1	1	1066	<0.1%	No
LYZL6		1	1	1066	<0.1%	No
PCGF1		2	1	1066	<0.1%	No
TMEM63C		6	6	1066	0.6%	No
PCTP		3	3	1066	0.3%	No
PHTF2		7	7	1066	0.7%	No
CREBZF		2	2	1066	0.2%	No
B3GNT9		1	1	1066	<0.1%	No
JPH2		2	2	1066	0.2%	No
SPAG17		21	19	1066	1.8%	No
TRIM54		2	2	1066	0.2%	No
ABHD17C		1	1	1066	<0.1%	No
FUT10		1	1	1066	<0.1%	No
SPANXN3		3	3	1066	0.3%	No
SLITRK4		11	9	1066	0.8%	No
PAXBP1		11	10	1066	0.9%	No
ORMDL3		1	1	1066	<0.1%	No
TGS1		15	14	1066	1.3%	No
OVOL2		1	1	1066	<0.1%	No
JAM2		2	2	1066	0.2%	No
GJC2		3	3	1066	0.3%	No
PRUNE1		5	5	1066	0.5%	No
LY6G5B		1	1	1066	<0.1%	No
ZNF71		6	6	1066	0.6%	No
ORMDL1		2	2	1066	0.2%	No
RPRD1B		3	3	1066	0.3%	No
PELI2		7	7	1066	0.7%	No
INIP		2	2	1066	0.2%	No
PELI1		4	4	1066	0.4%	No
ZNF77		4	4	1066	0.4%	No
SALL4		10	9	1066	0.8%	Yes
ZNF462		21	18	1066	1.7%	No
ASPHD2		4	4	1066	0.4%	No
MYL7		1	1	1066	<0.1%	No
ZNFX1		10	10	1066	0.9%	No
ABHD11		1	1	1066	<0.1%	No
DRC3		4	4	1066	0.4%	No
RAB33B		1	1	1066	<0.1%	No
MBLAC2		1	1	1066	<0.1%	No
CORO1B		1	1	1066	<0.1%	No
VARS2		4	4	1066	0.4%	No
DOLPP1		3	3	1066	0.3%	No
CAMK1G		5	5	1066	0.5%	No
PUS7L		4	4	1066	0.4%	No
NAA11		3	3	1066	0.3%	No
CRTC2		6	6	1066	0.6%	No
SLC25A31		3	3	1066	0.3%	No
PMFBP1		14	14	1066	1.3%	No
ZMIZ1		9	9	1066	0.8%	No
INO80B		1	1	1066	<0.1%	No
ZNF607		3	3	1066	0.3%	No
MAGEC3		8	8	1066	0.8%	No
KIAA1191		6	6	1066	0.6%	No
SF3B5		1	1	1066	<0.1%	No
CCDC70		1	1	1066	<0.1%	No
ADPGK		4	4	1066	0.4%	No
MFSD3		4	4	1066	0.4%	No
KRTAP12-2		1	1	1066	<0.1%	No
ANKRD37		2	2	1066	0.2%	No
WDR31		3	3	1066	0.3%	No
KHDRBS1		2	2	1066	0.2%	No
SLC44A3		2	2	1066	0.2%	No
KHDRBS3		4	4	1066	0.4%	No
CELF2		9	9	1066	0.8%	No
CELF1		4	4	1066	0.4%	No
VASN		1	1	1066	<0.1%	No
ZNF618		7	7	1066	0.7%	No
MTX2		2	2	1066	0.2%	No
YKT6		3	2	1066	0.2%	No
STAC2		4	4	1066	0.4%	No
DMRT2		4	4	1066	0.4%	No
KRTAP27-1		1	1	1066	<0.1%	No
PMVK		4	4	1066	0.4%	No
SVOPL		2	2	1066	0.2%	No
CRACDL		1	1	1066	<0.1%	No
KRTAP12-1		1	1	1066	<0.1%	No
KRTAP10-10		1	1	1066	<0.1%	No
CGRRF1		1	1	1066	<0.1%	No
FARS2		5	4	1066	0.4%	No
LBX1		1	1	1066	<0.1%	No
RFX8		1	1	1066	<0.1%	No
CTCF		22	22	1066	2.1%	Yes
CXCR6		2	2	1066	0.2%	No
CD226		4	4	1066	0.4%	No
TSBP1		4	3	1066	0.3%	No
MTPN		2	2	1066	0.2%	No
KRT28		8	8	1066	0.8%	No
FAM43B		1	1	1066	<0.1%	No
GPR141		7	4	1066	0.4%	No
RAD51AP1		2	2	1066	0.2%	No
RNFT2		2	2	1066	0.2%	No
GAS2L1		2	2	1066	0.2%	No
LEFTY1		1	1	1066	<0.1%	No
CEP89		5	5	1066	0.5%	No
PYHIN1		10	10	1066	0.9%	No
RGS14		5	5	1066	0.5%	No
NFATC2IP		1	1	1066	<0.1%	No
POSTN		8	8	1066	0.8%	No
ZFP62		5	4	1066	0.4%	No
PGA3		1	1	1066	<0.1%	No
ATP5MG		2	2	1066	0.2%	No
ADPRHL1		2	2	1066	0.2%	No
SPATA45		1	1	1066	<0.1%	No
ZNF233		6	6	1066	0.6%	No
CAMKK2		4	4	1066	0.4%	No
C1ORF74		3	3	1066	0.3%	No
TSGA13		4	4	1066	0.4%	No
EXOC5		3	3	1066	0.3%	No
LRGUK		14	11	1066	1.0%	No
IGF2BP1		4	4	1066	0.4%	No
NPRL2		1	1	1066	<0.1%	No
IGF2BP2		10	8	1066	0.8%	No
IGF2BP3		3	3	1066	0.3%	No
PPP1R15B		6	6	1066	0.6%	No
P3H4		1	1	1066	<0.1%	No
LRP11		1	1	1066	<0.1%	No
ZNF587		8	8	1066	0.8%	No
CLEC18B		2	2	1066	0.2%	No
UTP4		6	6	1066	0.6%	No
ERLIN1		3	3	1066	0.3%	No
FIZ1		1	1	1066	<0.1%	No
TRIM3		2	2	1066	0.2%	No
SPAG5		11	11	1066	1.0%	No
ZNF566		3	3	1066	0.3%	No
HEXIM1		1	1	1066	<0.1%	No
STAMBP		3	3	1066	0.3%	No
RBCK1		2	2	1066	0.2%	No
ALG10		3	3	1066	0.3%	No
TTC8		1	1	1066	<0.1%	No
TGOLN2		1	1	1066	<0.1%	No
TIFAB		1	1	1066	<0.1%	No
CTAGE9		8	7	1066	0.7%	No
TMPPE		2	1	1066	<0.1%	No
PDLIM5		2	2	1066	0.2%	No
ST6GALNAC2		4	4	1066	0.4%	No
FAM136A		1	1	1066	<0.1%	No
OR6C1		2	2	1066	0.2%	No
AOPEP		8	7	1066	0.7%	No
ARHGEF39		4	4	1066	0.4%	No
OR6C76		3	3	1066	0.3%	No
OR6C70		3	3	1066	0.3%	No
ZNF341		7	7	1066	0.7%	No
ZNF382		4	3	1066	0.3%	No
POLR3C		3	3	1066	0.3%	No
TMEM87B		6	6	1066	0.6%	No
TRIM16		2	2	1066	0.2%	No
IVNS1ABP		6	6	1066	0.6%	No
SLC35B4		3	3	1066	0.3%	No
TXNIP		5	4	1066	0.4%	No
MYL12A		5	2	1066	0.2%	No
TAF6L		3	3	1066	0.3%	No
SLFN14		11	9	1066	0.8%	No
ARID3B		4	4	1066	0.4%	Yes
POLR3G		3	3	1066	0.3%	No
POLR3F		3	3	1066	0.3%	No
SDSL		2	2	1066	0.2%	No
GUCD1		3	3	1066	0.3%	No
ZNRF1		2	2	1066	0.2%	No
CCM2		4	4	1066	0.4%	No
ZFYVE19		5	5	1066	0.5%	No
C18ORF21		1	1	1066	<0.1%	No
AMMECR1L		1	1	1066	<0.1%	No
ATG4C		3	3	1066	0.3%	No
KAT14		10	5	1066	0.5%	No
MAEL		7	6	1066	0.6%	No
CCDC12		3	3	1066	0.3%	No
PBXIP1		9	8	1066	0.8%	No
LTV1		3	3	1066	0.3%	No
ABHD13		5	5	1066	0.5%	No
CORO6		2	2	1066	0.2%	No
ARHGEF37		3	3	1066	0.3%	No
WDR73		2	2	1066	0.2%	No
MSGN1		3	3	1066	0.3%	No
FIBCD1		3	3	1066	0.3%	No
PROB1		3	3	1066	0.3%	No
FAM149B1		5	5	1066	0.5%	No
NXF3		6	5	1066	0.5%	No
SPRYD3		4	4	1066	0.4%	No
SLC49A4		4	4	1066	0.4%	No
TMEM209		4	4	1066	0.4%	No
CDC42EP3		1	1	1066	<0.1%	No
MYDGF		3	3	1066	0.3%	No
ZNF287		3	3	1066	0.3%	No
C8ORF76		1	1	1066	<0.1%	No
SMG9		4	4	1066	0.4%	No
SENP7		9	8	1066	0.8%	No
RAB2B		2	2	1066	0.2%	No
JPH3		1	1	1066	<0.1%	No
TMEM47		1	1	1066	<0.1%	No
MEDAG		2	2	1066	0.2%	No
SH2B2		2	2	1066	0.2%	No
PAICS		3	2	1066	0.2%	No
NXF2		2	2	1066	0.2%	No
CBX8		8	7	1066	0.7%	No
PAIP1		1	1	1066	<0.1%	No
MXD4		2	2	1066	0.2%	No
TBL3		7	7	1066	0.7%	No
ZNF286A		6	5	1066	0.5%	No
MASTL		7	7	1066	0.7%	No
USP16		4	4	1066	0.4%	No
PSMG4		1	1	1066	<0.1%	No
BROX		7	7	1066	0.7%	No
MEF2B		2	2	1066	0.2%	Yes
OTOS		1	1	1066	<0.1%	No
COPS9		1	1	1066	<0.1%	No
ZNF519		6	5	1066	0.5%	No
TMEM179		2	2	1066	0.2%	No
GTSF1L		1	1	1066	<0.1%	No
RTL1		15	12	1066	1.1%	No
COMMD1		1	1	1066	<0.1%	No
OR6B3		1	1	1066	<0.1%	No
TMEM201		3	2	1066	0.2%	No
CXORF38		1	1	1066	<0.1%	No
ZBTB9		3	3	1066	0.3%	No
MDGA2		12	11	1066	1.0%	No
CLPSL2		2	2	1066	0.2%	No
BNIP5		5	5	1066	0.5%	No
SLC24A4		9	8	1066	0.8%	No
C18ORF54		1	1	1066	<0.1%	No
TC2N		7	6	1066	0.6%	No
PROM2		6	5	1066	0.5%	No
FYB2		6	5	1066	0.5%	No
FAM217A		3	3	1066	0.3%	No
CDYL2		3	3	1066	0.3%	No
GMEB1		8	8	1066	0.8%	No
FUT9		1	1	1066	<0.1%	No
MB21D2		4	4	1066	0.4%	No
GARIN4		8	6	1066	0.6%	No
CCT6B		8	8	1066	0.8%	Yes
RRH		1	1	1066	<0.1%	No
CNPY3		3	3	1066	0.3%	No
CCT8		5	5	1066	0.5%	No
CORIN		8	8	1066	0.8%	No
GLYATL3		2	2	1066	0.2%	No
DEGS2		1	1	1066	<0.1%	No
CREB3L4		4	4	1066	0.4%	No
NDUFAF6		2	1	1066	<0.1%	No
C1ORF127		5	4	1066	0.4%	No
C6ORF136		1	1	1066	<0.1%	No
PROCA1		2	2	1066	0.2%	No
B3GNT2		2	2	1066	0.2%	No
PPP4R2		6	4	1066	0.4%	Yes
DCTN6		3	3	1066	0.3%	No
TMEM68		5	5	1066	0.5%	No
TNFSF13B		2	2	1066	0.2%	No
GNA13		4	4	1066	0.4%	Yes
CSPG5		3	3	1066	0.3%	No
AVIL		5	5	1066	0.5%	No
ADIG		2	2	1066	0.2%	No
PDXDC2P		1	1	1066	<0.1%	No
TMEM130		1	1	1066	<0.1%	No
DHRS13		4	4	1066	0.4%	No
EBP		5	4	1066	0.4%	No
GNB5		5	5	1066	0.5%	No
DLL3		1	1	1066	<0.1%	No
CLDN16		8	7	1066	0.7%	No
ASB10		2	2	1066	0.2%	No
KRTAP24-1		4	3	1066	0.3%	No
PNMA2		4	4	1066	0.4%	No
EPSTI1		2	2	1066	0.2%	No
FERD3L		3	3	1066	0.3%	No
TP53INP1		3	3	1066	0.3%	No
RTP3		2	2	1066	0.2%	No
NUDT12		2	2	1066	0.2%	No
RASSF5		4	4	1066	0.4%	No
BCL2L12		2	2	1066	0.2%	No
SOX7		1	1	1066	<0.1%	No
THAP2		3	2	1066	0.2%	No
EDNRA		4	4	1066	0.4%	No
EDN3		2	2	1066	0.2%	No
OPN4		7	6	1066	0.6%	No
EDN1		4	4	1066	0.4%	No
S1PR3		5	5	1066	0.5%	No
FCSK		4	4	1066	0.4%	No
LPAR1		3	3	1066	0.3%	No
MLKL		3	3	1066	0.3%	No
S1PR1		1	1	1066	<0.1%	No
LDHD		1	1	1066	<0.1%	No
EDNRB		3	3	1066	0.3%	No
EEF1A2		4	4	1066	0.4%	No
EEF1A1		10	10	1066	0.9%	No
PHC2		7	6	1066	0.6%	No
PHC1		3	3	1066	0.3%	No
SYT6		6	5	1066	0.5%	No
AMER2		2	2	1066	0.2%	No
REM2		2	2	1066	0.2%	No
SAMD9L		14	12	1066	1.1%	No
EXOC3L1		2	2	1066	0.2%	No
TERB1		4	4	1066	0.4%	No
STEAP1B		1	1	1066	<0.1%	No
EIF2D		5	4	1066	0.4%	No
EEF2		7	7	1066	0.7%	No
EEF1G		3	3	1066	0.3%	No
EEF1D		2	2	1066	0.2%	No
EEF1B2		2	2	1066	0.2%	No
FITM1		1	1	1066	<0.1%	No
ATAD3C		1	1	1066	<0.1%	No
PPP1R14A		1	1	1066	<0.1%	No
EFNA1		3	3	1066	0.3%	No
NAPSB		1	1	1066	<0.1%	No
EFNB3		2	2	1066	0.2%	No
EFNB2		3	3	1066	0.3%	No
FAM76A		1	1	1066	<0.1%	No
EFNB1		1	1	1066	<0.1%	No
EFNA5		2	2	1066	0.2%	No
EFNA3		3	3	1066	0.3%	No
MEGF8		27	23	1066	2.2%	No
MEGF6		5	4	1066	0.4%	No
CELSR2		17	12	1066	1.1%	No
CELSR3		11	11	1066	1.0%	No
EGF		6	6	1066	0.6%	No
NOMO2		6	6	1066	0.6%	No
EGR2		4	4	1066	0.4%	No
EGR1		2	2	1066	0.2%	Yes
EGFR		15	15	1066	1.4%	Yes
MEGF9		4	3	1066	0.3%	No
EIF2S1		2	2	1066	0.2%	No
EIF1AX		4	4	1066	0.4%	Yes
ALG14		3	3	1066	0.3%	No
EHHADH		7	7	1066	0.7%	No
EGR4		1	1	1066	<0.1%	No
EGR3		4	4	1066	0.4%	No
HEPACAM		3	3	1066	0.3%	No
EPHA2		4	4	1066	0.4%	No
EIF2S3		4	4	1066	0.4%	No
EIF2B1		4	4	1066	0.4%	Yes
C1QTNF6		1	1	1066	<0.1%	No
C1QTNF7		2	2	1066	0.2%	No
FBXO32		3	3	1066	0.3%	No
TMEM123		2	1	1066	<0.1%	No
ARFGEF3		10	10	1066	0.9%	No
ZNF496		6	6	1066	0.6%	No
C1QTNF4		1	1	1066	<0.1%	No
SERTM1		1	1	1066	<0.1%	No
RAX2		2	2	1066	0.2%	No
C1QTNF5		2	2	1066	0.2%	No
EIF4B		5	5	1066	0.5%	No
EIF4A2		13	12	1066	1.1%	Yes
EIF4A1		4	4	1066	0.4%	No
ERGIC1		1	1	1066	<0.1%	No
PPP4R3B		7	7	1066	0.7%	No
IFITM10		4	4	1066	0.4%	No
NHSL1		10	9	1066	0.8%	No
HPDL		2	2	1066	0.2%	No
EIF4EBP2		1	1	1066	<0.1%	No
EIF4E		1	1	1066	<0.1%	Yes
CELA1		5	5	1066	0.5%	No
SNX14		6	5	1066	0.5%	No
ZNF630		6	6	1066	0.6%	No
NUDT14		1	1	1066	<0.1%	No
LRTM2		3	3	1066	0.3%	No
EIF5		4	3	1066	0.3%	No
ADTRP		3	3	1066	0.3%	No
EIF4G2		4	4	1066	0.4%	No
EIF4G1		9	9	1066	0.8%	No
PGP		1	1	1066	<0.1%	No
BRICD5		4	4	1066	0.4%	No
HAP1		4	4	1066	0.4%	No
F2RL3		2	2	1066	0.2%	No
ARSI		1	1	1066	<0.1%	No
MROH6		2	2	1066	0.2%	No
LRCH3		12	11	1066	1.0%	No
ELF2		2	2	1066	0.2%	No
PTPN5		5	4	1066	0.4%	No
ELF1		6	5	1066	0.5%	No
TMEM25		1	1	1066	<0.1%	No
ELAVL4		1	1	1066	<0.1%	No
ODAD4		1	1	1066	<0.1%	No
ELAVL3		1	1	1066	<0.1%	No
HAVCR2		2	2	1066	0.2%	No
ELAVL1		4	4	1066	0.4%	No
FER1L6		18	17	1066	1.6%	No
ELAVL2		4	3	1066	0.3%	No
SERPINB1		4	4	1066	0.4%	No
CCDC142		5	5	1066	0.5%	No
ELANE		2	2	1066	0.2%	No
RIOX2		3	3	1066	0.3%	No
ELF3		2	2	1066	0.2%	Yes
TAF1B		3	3	1066	0.3%	No
TAF1A		5	5	1066	0.5%	No
TAF1C		4	4	1066	0.4%	No
MPZL1		2	2	1066	0.2%	No
SLC25A14		4	4	1066	0.4%	No
STING1		2	2	1066	0.2%	No
ACSM4		6	5	1066	0.5%	No
ZNF503		1	1	1066	<0.1%	No
ZBTB8A		1	1	1066	<0.1%	No
TRIM52		2	2	1066	0.2%	No
RNF8		4	4	1066	0.4%	No
HIP1R		5	5	1066	0.5%	No
CH25H		1	1	1066	<0.1%	No
BRSK2		5	5	1066	0.5%	No
CYP2U1		2	2	1066	0.2%	No
NAT8		2	2	1066	0.2%	No
TMEM215		1	1	1066	<0.1%	No
ATP11AUN		2	2	1066	0.2%	No
HACD4		3	3	1066	0.3%	No
SLC7A3		5	5	1066	0.5%	No
SPPL2A		2	2	1066	0.2%	No
ZDHHC12		3	2	1066	0.2%	No
C1ORF198		3	3	1066	0.3%	No
GPR101		6	6	1066	0.6%	No
RPUSD4		3	3	1066	0.3%	No
MFRP		5	5	1066	0.5%	No
AIFM2		4	4	1066	0.4%	No
TAAR8		1	1	1066	<0.1%	No
SEMA5A		17	15	1066	1.4%	No
CCRL2		5	5	1066	0.5%	No
TAAR5		5	5	1066	0.5%	No
UBA3		1	1	1066	<0.1%	No
MRFAP1L1		1	1	1066	<0.1%	No
PKD2L1		5	5	1066	0.5%	No
CHST9		5	5	1066	0.5%	No
BAZ1B		16	13	1066	1.2%	No
ZBTB45		2	2	1066	0.2%	No
FAM228A		2	2	1066	0.2%	No
UCK1		1	1	1066	<0.1%	No
COG3		5	5	1066	0.5%	No
ZNF514		3	2	1066	0.2%	No
ADGRG7		7	7	1066	0.7%	No
ORAI1		1	1	1066	<0.1%	No
DNAL1		3	3	1066	0.3%	No
PARP10		9	6	1066	0.6%	No
RSPO3		1	1	1066	<0.1%	Yes
FAM110A		2	2	1066	0.2%	No
ZC3H10		4	4	1066	0.4%	No
NUF2		4	4	1066	0.4%	Yes
AGBL4		4	4	1066	0.4%	No
IFFO2		1	1	1066	<0.1%	No
SH2D2A		3	3	1066	0.3%	No
SMIM19		1	1	1066	<0.1%	No
DOK2		4	4	1066	0.4%	No
GPRASP2		15	14	1066	1.3%	No
AIP		3	3	1066	0.3%	No
UBE2M		1	1	1066	<0.1%	No
SAMD12		3	3	1066	0.3%	No
SPAG9		11	10	1066	0.9%	No
BTAF1		9	8	1066	0.8%	No
SLC4A10		8	8	1066	0.8%	No
SLC6A19		7	5	1066	0.5%	No
SYT10		4	4	1066	0.4%	No
SLC13A2		8	8	1066	0.8%	No
SLC7A7		3	3	1066	0.3%	No
SLC7A6		1	1	1066	<0.1%	No
OVCH1		11	11	1066	1.0%	No
PSTPIP2		2	2	1066	0.2%	No
PSTPIP1		4	4	1066	0.4%	No
NFS1		1	1	1066	<0.1%	No
PRC1		4	4	1066	0.4%	No
GPRC5A		1	1	1066	<0.1%	No
MAP7		8	8	1066	0.8%	No
TMTC4		11	10	1066	0.9%	No
ATAD1		2	2	1066	0.2%	No
MIGA2		2	2	1066	0.2%	No
PLXDC2		1	1	1066	<0.1%	No
C16ORF54		3	3	1066	0.3%	No
TBRG1		3	3	1066	0.3%	No
POMGNT2		1	1	1066	<0.1%	No
LINGO1		5	4	1066	0.4%	No
FBH1		9	8	1066	0.8%	No
SMCO2		1	1	1066	<0.1%	No
CLDN12		4	3	1066	0.3%	No
ANGPTL1		6	6	1066	0.6%	No
PAPSS1		4	4	1066	0.4%	No
CIBAR2		1	1	1066	<0.1%	No
PAPSS2		4	3	1066	0.3%	No
HELT		2	2	1066	0.2%	No
SYT7		1	1	1066	<0.1%	No
PIAS2		7	6	1066	0.6%	No
MAP3K6		6	6	1066	0.6%	Yes
ARPP21		9	9	1066	0.8%	No
ANKRD34B		5	4	1066	0.4%	No
ZMYND11		4	3	1066	0.3%	No
ZBTB6		5	3	1066	0.3%	No
LDB2		9	9	1066	0.8%	No
ASH2L		7	7	1066	0.7%	No
CLDN10		4	4	1066	0.4%	No
CLDN1		1	1	1066	<0.1%	No
DIRAS3		1	1	1066	<0.1%	No
CLDN6		3	3	1066	0.3%	No
CLDN2		1	1	1066	<0.1%	No
IQGAP2		8	7	1066	0.7%	No
GOLGA6L4		1	1	1066	<0.1%	No
ZNF266		4	4	1066	0.4%	No
ZNF234		3	3	1066	0.3%	No
NEK6		3	3	1066	0.3%	No
ZNF274		7	7	1066	0.7%	No
WDR4		3	3	1066	0.3%	No
NCKAP1		14	12	1066	1.1%	No
SLC17A3		4	4	1066	0.4%	No
RPEL1		1	1	1066	<0.1%	No
HELQ		7	7	1066	0.7%	No
RAB43		1	1	1066	<0.1%	No
JMJD8		2	2	1066	0.2%	No
LIN28B		2	2	1066	0.2%	No
PKMYT1		1	1	1066	<0.1%	No
LRRC34		4	4	1066	0.4%	No
GIPC1		3	3	1066	0.3%	No
RAB22A		4	3	1066	0.3%	No
TRAF3IP2		1	1	1066	<0.1%	No
CYP20A1		3	3	1066	0.3%	No
SPC25		1	1	1066	<0.1%	No
KLHDC9		1	1	1066	<0.1%	No
DNAI3		3	3	1066	0.3%	No
CHL1		5	5	1066	0.5%	No
ABHD6		4	4	1066	0.4%	No
LRTM1		5	5	1066	0.5%	No
CAPN9		6	4	1066	0.4%	No
MIF4GD		2	2	1066	0.2%	No
UNC119		1	1	1066	<0.1%	No
TBX19		6	6	1066	0.6%	No
SART1		3	3	1066	0.3%	No
DNAJA3		2	2	1066	0.2%	No
USP6		7	7	1066	0.7%	Yes
USP2		5	5	1066	0.5%	No
TBX18		8	8	1066	0.8%	No
USP14		2	2	1066	0.2%	No
SLAMF6		3	3	1066	0.3%	No
HBS1L		6	5	1066	0.5%	No
RHBDD2		2	2	1066	0.2%	No
PLK2		12	12	1066	1.1%	Yes
C3ORF14		1	1	1066	<0.1%	No
CPNE9		2	2	1066	0.2%	No
AHCYL1		2	2	1066	0.2%	No
PIGQ		6	6	1066	0.6%	No
SCYL1		5	5	1066	0.5%	No
GFRAL		3	3	1066	0.3%	No
AS3MT		5	4	1066	0.4%	No
PLAC1		2	2	1066	0.2%	No
NES		14	11	1066	1.0%	No
NUP50		1	1	1066	<0.1%	No
KDM5B		24	19	1066	1.8%	No
SLC24A3		9	7	1066	0.7%	No
OR4K2		5	5	1066	0.5%	No
HERC2P2		2	2	1066	0.2%	No
OR4K13		5	5	1066	0.5%	No
PRSS53		4	4	1066	0.4%	No
OR4K17		2	2	1066	0.2%	No
OR4N5		3	3	1066	0.3%	No
FERMT3		7	7	1066	0.7%	No
STAG3		9	9	1066	0.8%	No
OR11G2		4	4	1066	0.4%	No
PLK4		7	7	1066	0.7%	No
STAG2		18	18	1066	1.7%	Yes
OR6C2		2	2	1066	0.2%	No
GOLGA7B		1	1	1066	<0.1%	No
RFPL3		3	3	1066	0.3%	No
RFPL2		4	4	1066	0.4%	No
IYD		3	3	1066	0.3%	No
LRRC10		1	1	1066	<0.1%	No
YME1L1		10	10	1066	0.9%	No
TCFL5		4	4	1066	0.4%	No
OR13C4		6	6	1066	0.6%	No
OR13F1		4	4	1066	0.4%	No
OR13C8		9	7	1066	0.7%	No
OR13C3		2	2	1066	0.2%	No
POLN		5	5	1066	0.5%	No
OR11H4		1	1	1066	<0.1%	No
PAQR4		2	2	1066	0.2%	No
RNASE9		2	2	1066	0.2%	No
C1QTNF1		2	2	1066	0.2%	No
C1QTNF2		2	2	1066	0.2%	No
OR5AU1		4	4	1066	0.4%	No
C1QTNF3		4	4	1066	0.4%	No
PHTF1		5	5	1066	0.5%	No
PCDHGB1		7	6	1066	0.6%	No
PTTG2		1	1	1066	<0.1%	No
PCDHGA11		8	8	1066	0.8%	No
JAM3		1	1	1066	<0.1%	No
MASP2		5	5	1066	0.5%	No
PCDHGA10		4	4	1066	0.4%	No
MAP3K2		4	3	1066	0.3%	No
PCDHGA9		11	11	1066	1.0%	No
ANKRD33		1	1	1066	<0.1%	No
KIF1C		9	7	1066	0.7%	No
PCDHGB6		11	11	1066	1.0%	No
PCDHGB3		6	6	1066	0.6%	No
PCDHGB2		8	8	1066	0.8%	No
RBBP9		3	3	1066	0.3%	No
PCDHGA7		8	7	1066	0.7%	No
RFPL1S		1	1	1066	<0.1%	No
PCDHGA6		7	7	1066	0.7%	No
RAI1		7	5	1066	0.5%	No
RAI2		11	10	1066	0.9%	No
OSBPL10		6	6	1066	0.6%	No
OSBPL11		6	5	1066	0.5%	No
H2AC21		1	1	1066	<0.1%	No
PCDHGA5		6	6	1066	0.6%	No
INHBE		2	2	1066	0.2%	No
ENTREP3		4	4	1066	0.4%	No
NDRG3		4	4	1066	0.4%	No
NDRG2		2	2	1066	0.2%	No
SLC25A18		6	6	1066	0.6%	No
POLD3		1	1	1066	<0.1%	No
BIRC6		36	28	1066	2.6%	No
MAB21L3		4	4	1066	0.4%	No
USP39		5	4	1066	0.4%	No
PLEKHG5		2	2	1066	0.2%	No
TBR1		4	3	1066	0.3%	No
PCDHGA4		7	7	1066	0.7%	No
CERS1		1	1	1066	<0.1%	No
PCDHGA3		7	7	1066	0.7%	No
NRG3		7	6	1066	0.6%	No
PCDHGA2		10	10	1066	0.9%	No
RIOK1		4	4	1066	0.4%	No
AP4B1		4	4	1066	0.4%	No
PCDHGA1		16	13	1066	1.2%	No
FAM86JP		1	1	1066	<0.1%	No
DDX51		3	3	1066	0.3%	No
TENM2		22	20	1066	1.9%	No
PCDHB15		5	5	1066	0.5%	No
GALNT16		3	3	1066	0.3%	No
OSBPL1A		9	9	1066	0.8%	No
TNFAIP8L3		1	1	1066	<0.1%	No
CRISPLD2		2	2	1066	0.2%	No
ESPN		7	7	1066	0.7%	No
OSBPL5		6	6	1066	0.6%	No
DENND6B		1	1	1066	<0.1%	No
SLC12A7		5	5	1066	0.5%	No
PCDHB10		6	6	1066	0.6%	No
TLCD3B		4	4	1066	0.4%	No
AXDND1		7	7	1066	0.7%	No
TMCC3		9	9	1066	0.8%	No
OR4N2		7	7	1066	0.7%	No
NFAT5		8	8	1066	0.8%	No
PCDHB8		8	7	1066	0.7%	No
GATAD2B		4	4	1066	0.4%	No
OGA		5	5	1066	0.5%	No
PCDHB7		17	15	1066	1.4%	No
PCDHB14		9	9	1066	0.8%	No
DSCAML1		21	16	1066	1.5%	No
OSBPL6		5	5	1066	0.5%	No
CCDC9B		6	5	1066	0.5%	No
NUDC		3	3	1066	0.3%	No
PCDHB13		7	7	1066	0.7%	No
OSBPL7		4	4	1066	0.4%	No
SLC25A53		5	5	1066	0.5%	No
PCDHB12		12	11	1066	1.0%	No
REXO1		2	2	1066	0.2%	No
OSBPL8		10	10	1066	0.9%	No
PTGES3		3	3	1066	0.3%	No
PCDHB11		9	9	1066	0.8%	No
KIAA1143		1	1	1066	<0.1%	No
OSBPL9		8	7	1066	0.7%	No
POLQ		16	16	1066	1.5%	Yes
KLF14		1	1	1066	<0.1%	No
SPPL2C		3	3	1066	0.3%	No
GPR139		5	5	1066	0.5%	No
POTED		2	2	1066	0.2%	No
DHRS4L2		4	4	1066	0.4%	No
CCDC80		12	12	1066	1.1%	No
GASK1A		2	2	1066	0.2%	No
SSMEM1		2	2	1066	0.2%	No
ZNF555		6	6	1066	0.6%	No
C14ORF39		8	6	1066	0.6%	No
ARHGEF33		7	7	1066	0.7%	No
LCE4A		1	1	1066	<0.1%	No
NYAP1		4	4	1066	0.4%	No
ZNF569		7	7	1066	0.7%	No
RRN3P1		1	1	1066	<0.1%	No
ZNF570		1	1	1066	<0.1%	No
ZC3H18		4	4	1066	0.4%	No
SMYD1		4	4	1066	0.4%	No
C7ORF57		2	2	1066	0.2%	No
ADM5		2	2	1066	0.2%	No
CNST		6	6	1066	0.6%	No
H2AC1		3	3	1066	0.3%	No
AGAP5		5	5	1066	0.5%	No
PRR25		1	1	1066	<0.1%	No
CASC3		2	2	1066	0.2%	No
NID2		11	9	1066	0.8%	No
COG2		8	6	1066	0.6%	No
TFEC		4	4	1066	0.4%	No
LAMB4		21	20	1066	1.9%	No
VN1R4		3	3	1066	0.3%	No
OR1N1		1	1	1066	<0.1%	No
OR1L8		2	2	1066	0.2%	No
RSPH10B		3	3	1066	0.3%	No
COL26A1		2	2	1066	0.2%	No
